Wall time,Step,Value
1741890704.2937396,2584576,1619.52001953125
1741890718.688139,2590720,1615.3299560546875
1741890781.5824268,2617344,1719.5699462890625
1741890815.1027005,2631680,1716.800048828125
1741890843.7221308,2643968,1738.93994140625
1741890862.830668,2652160,1785.77001953125
1741890872.3419595,2656256,1796.9000244140625
1741890877.0819035,2658304,1807.43994140625
1741890905.8652673,2670592,1832.949951171875
1741890953.850645,2691072,1861.9599609375
1741890977.9467268,2701312,1815.0400390625
1741890982.7163699,2703360,1825.5
1741890997.2828796,2709504,1800.31005859375
1741891026.707901,2721792,1739.4599609375
1741891036.4340978,2725888,1718.6500244140625
1741891050.8524032,2732032,1688.449951171875
1741891065.30757,2738176,1689.56005859375
1741891079.7874358,2744320,1710.260009765625
1741891084.6465042,2746368,1694.4100341796875
1741891171.2076278,2783232,1882.219970703125
1741891224.3840122,2805760,1922.1700439453125
1741891243.5916793,2813952,1952.68994140625
1741891315.7638743,2844672,2060.43994140625
1741891329.8312924,2850816,2056.1298828125
1741891334.5963273,2852864,2056.1298828125
1741891344.6073048,2856960,2021.5400390625
1741891349.3921075,2859008,2021.5400390625
1741891451.409008,2902016,1791.31005859375
1741891456.2716184,2904064,1796.7900390625
1741891480.6819863,2914304,1795.3199462890625
1741891494.8866382,2920448,1788.2900390625
1741891514.3968558,2928640,1782.3699951171875
1741891524.1257627,2932736,1789.3800048828125
1741891543.20193,2940928,1781.0699462890625
1741891562.7166533,2949120,1719.81005859375
1741891582.1704853,2957312,1701.739990234375
1741891703.7024996,3008512,1289.6600341796875
1741891708.645311,3010560,1236.6600341796875
1741891762.0956068,3033088,1202.969970703125
1741891800.894128,3049472,1243.25
1741891805.7958372,3051520,1272.5699462890625
1741891820.356534,3057664,1325.0
1741891830.1138027,3061760,1380.3699951171875
1741891834.942917,3063808,1380.3699951171875
1741891878.1357765,3082240,1460.9200439453125
1741891912.139259,3096576,1629.8199462890625
1741891984.5569215,3127296,1798.7900390625
1741891989.3432362,3129344,1816.3399658203125
1741892003.6780632,3135488,1814.050048828125
1741892036.798142,3149824,1831.6500244140625
1741892094.9773421,3174400,1825.0
1741892119.2970243,3184640,1872.300048828125
1741892124.0710633,3186688,1871.8199462890625
1741892133.6889799,3190784,1895.47998046875
1741892167.8660917,3205120,1820.8199462890625
1741892201.638944,3219456,1826.43994140625
1741892206.4562137,3221504,1805.030029296875
1741892249.4668207,3239936,1733.0400390625
1741892268.6358542,3248128,1704.1099853515625
1741892278.300146,3252224,1730.030029296875
1741892297.607031,3260416,1678.0
1741892341.2435606,3278848,1615.9599609375
1741892374.8152194,3293184,1633.6500244140625
1741892379.6000082,3295232,1653.300048828125
1741892403.7980027,3305472,1693.3699951171875
1741892442.3150215,3321856,1775.02001953125
1741892485.6586313,3340288,1740.989990234375
1741892490.4488478,3342336,1751.9599609375
1741892509.578229,3350528,1731.1099853515625
1741892533.9537354,3360768,1740.5699462890625
1741892548.5242908,3366912,1737.8299560546875
1741892558.041195,3371008,1778.199951171875
1741892572.324548,3377152,1672.6300048828125
1741892586.638126,3383296,1652.9300537109375
1741892605.8694754,3391488,1697.2900390625
1741892644.4394267,3407872,1736.4200439453125
1741892683.2107913,3424256,1804.949951171875
1741892702.4271836,3432448,1839.699951171875
1741892716.9744632,3438592,1899.6099853515625
1741892721.8642442,3440640,1897.3699951171875
1741892750.7562027,3452928,1943.0400390625
1741892755.4745975,3454976,1948.56005859375
1741892793.5947149,3471360,2083.590087890625
1741892812.8453836,3479552,2126.14990234375
1741892817.6746533,3481600,2144.110107421875
1741892822.5441842,3483648,2157.570068359375
1741892832.2369158,3487744,2142.97998046875
1741892846.897373,3493888,2170.2900390625
1741892880.6898155,3508224,2219.860107421875
1741892885.4656508,3510272,2219.760009765625
1741892924.101458,3526656,2257.3701171875
1741892928.914948,3528704,2242.639892578125
1741892971.908947,3547136,2197.0400390625
1741892991.1666987,3555328,2210.929931640625
1741893000.7577727,3559424,2232.469970703125
1741893005.528023,3561472,2228.199951171875
1741893015.279579,3565568,2182.580078125
1741893039.6780853,3575808,2193.570068359375
1741893044.6258864,3577856,2158.5
1741893054.4584622,3581952,2103.719970703125
1741893059.2811043,3584000,2087.280029296875
1741893064.0934741,3586048,2087.280029296875
1741893088.5997336,3596288,2034.800048828125
1741893155.1696355,3624960,2011.760009765625
1741893198.747888,3643392,1995.18994140625
1741893228.0137327,3655680,2021.8199462890625
1741893261.7147763,3670016,2034.0699462890625
1741893266.508937,3672064,2034.0699462890625
1741893309.79315,3690496,2055.72998046875
1741893343.34841,3704832,2154.530029296875
1741893386.3869104,3723264,2173.43994140625
1741893400.5158591,3729408,2189.949951171875
1741893433.7680619,3743744,2204.93994140625
1741893443.394354,3747840,2195.679931640625
1741893462.6622288,3756032,2162.6298828125
1741893510.4006941,3776512,2241.35009765625
1741893515.2017565,3778560,2241.080078125
1741893529.5761583,3784704,2273.14990234375
1741893553.5264518,3794944,2294.360107421875
1741893572.8982098,3803136,2301.590087890625
1741893635.5971413,3829760,2149.5
1741893645.250754,3833856,2145.6298828125
1741893649.989794,3835904,2148.389892578125
1741893678.758854,3848192,2186.679931640625
1741893683.5096807,3850240,2214.72998046875
1741893688.2766323,3852288,2222.81005859375
1741893697.7994678,3856384,2203.77001953125
1741893707.3294027,3860480,2207.89990234375
1741893765.0762303,3885056,2123.090087890625
1741893851.7721603,3921920,2213.35009765625
1741893880.5780897,3934208,2211.760009765625
1741893914.3094232,3948544,2149.93994140625
1741893943.143879,3960832,2191.3798828125
1741893962.4071379,3969024,2222.389892578125
1741893972.0039604,3973120,2233.56005859375
1741893981.596835,3977216,2209.2900390625
1741894010.5511959,3989504,2172.8798828125
1741894024.9010165,3995648,2177.39990234375
1741894034.3176706,3999744,2198.35009765625
1741894048.96833,4005888,2206.080078125
1741894063.3674421,4012032,2206.080078125
1741894078.0488677,4018176,2193.239990234375
1741894122.2290668,4036608,2173.169921875
1741894131.8033452,4040704,2169.97998046875
1741894190.4587388,4065280,2166.659912109375
1741894195.4787009,4067328,2166.659912109375
1741894200.4469016,4069376,2166.659912109375
1741894269.4202511,4098048,2059.3701171875
1741894289.5140736,4106240,2037.3900146484375
1741894309.3205168,4114432,1906.93994140625
1741894328.807426,4122624,1895.760009765625
1741894333.7718065,4124672,1854.3199462890625
1741894348.700938,4130816,1793.3599853515625
1741894358.7195845,4134912,1775.8499755859375
1741894368.6291385,4139008,1696.1099853515625
1741894407.2409005,4155392,1607.449951171875
1741894416.8110783,4159488,1607.449951171875
1741894431.470979,4165632,1560.989990234375
1741894445.961758,4171776,1567.6500244140625
1741894460.3690143,4177920,1567.6500244140625
1741894470.4252338,4182016,1562.0
1741894485.0430553,4188160,1508.8900146484375
1741894499.4145608,4194304,1503.8399658203125
1741894578.081929,4227072,1500.6600341796875
1741894612.8913152,4241408,1458.030029296875
1741894637.8044503,4251648,1451.1700439453125
1741894642.8304665,4253696,1476.72998046875
1741894647.8122587,4255744,1504.030029296875
1741894657.757196,4259840,1516.449951171875
1741894662.745439,4261888,1545.8199462890625
1741894672.7369235,4265984,1559.4200439453125
1741894682.3851883,4270080,1559.4200439453125
1741894701.81407,4278272,1620.449951171875
1741894721.2939005,4286464,1658.4200439453125
1741894745.1165524,4296704,1724.050048828125
1741894754.7688477,4300800,1752.489990234375
1741894788.4287128,4315136,1800.0999755859375
1741894798.0198963,4319232,1816.5400390625
1741894802.8837771,4321280,1816.5400390625
1741894827.612583,4331520,1835.81005859375
1741894846.935296,4339712,1873.969970703125
1741894871.1674855,4349952,1912.43994140625
1741894880.8002794,4354048,1960.050048828125
1741894885.632613,4356096,1974.77001953125
1741894933.415691,4376576,2088.31005859375
1741894938.1698754,4378624,2114.1201171875
1741894957.0938892,4386816,2139.050048828125
1741894971.350779,4392960,2143.139892578125
1741894985.682786,4399104,2138.090087890625
1741894990.4189537,4401152,2148.219970703125
1741895004.7546544,4407296,2133.75
1741895009.541049,4409344,2127.0400390625
1741895019.286339,4413440,2127.719970703125
1741895043.402662,4423680,2177.139892578125
1741895048.2743585,4425728,2177.139892578125
1741895081.8081744,4440064,2197.570068359375
1741895086.5852726,4442112,2194.7900390625
1741895105.5256073,4450304,2214.199951171875
1741895114.8659403,4454400,2210.169921875
1741895124.3727765,4458496,2232.7099609375
1741895143.3883948,4466688,2247.81005859375
1741895192.1154702,4487168,2221.830078125
1741895201.964805,4491264,2226.280029296875
1741895211.7467175,4495360,2232.75
1741895216.6236434,4497408,2225.610107421875
1741895235.9922476,4505600,2213.389892578125
1741895250.47498,4511744,2210.2099609375
1741895288.948281,4528128,2196.800048828125
1741895308.42635,4536320,2156.409912109375
1741895375.9027913,4564992,2127.39990234375
1741895395.837159,4573184,2122.31005859375
1741895406.0467641,4577280,2097.179931640625
1741895430.79746,4587520,2071.02001953125
1741895435.7408514,4589568,2071.02001953125
1741895445.895546,4593664,2053.550048828125
1741895455.7736433,4597760,2053.550048828125
1741895460.7423325,4599808,2053.550048828125
1741895470.8276894,4603904,2028.5
1741895480.6830597,4608000,1989.2900390625
1741895485.6441994,4610048,1989.2900390625
1741895521.0307543,4624384,1964.3800048828125
1741895536.15995,4630528,1942.1099853515625
1741895561.321596,4640768,1901.050048828125
1741895621.6720996,4665344,1805.75
1741895641.5443382,4673536,1789.3900146484375
1741895656.5496142,4679680,1758.5799560546875
1741895707.1798236,4700160,1705.25
1741895737.7407207,4712448,1624.5999755859375
1741895742.8462844,4714496,1624.5999755859375
1741895752.989314,4718592,1613.1400146484375
1741895768.1406574,4724736,1592.0799560546875
1741895783.495595,4730880,1568.239990234375
1741895788.5700681,4732928,1568.239990234375
1741895793.7090607,4734976,1568.239990234375
1741895844.926036,4755456,1463.300048828125
1741895849.970436,4757504,1463.300048828125
1741895855.039415,4759552,1463.300048828125
1741895865.385211,4763648,1450.8699951171875
1741895926.6708138,4788224,1378.4599609375
1741895931.7861629,4790272,1378.4599609375
1741895936.8578577,4792320,1378.4599609375
1741895941.9838078,4794368,1370.5899658203125
1741895983.4741662,4810752,1334.6700439453125
1741896029.806923,4829184,1272.280029296875
1741896118.385086,4864000,1063.1099853515625
1741896190.9276946,4892672,978.6300048828125
1741896211.8398528,4900864,937.2999877929688
1741896217.1866527,4902912,881.0499877929688
1741896227.5816193,4907008,881.0499877929688
1741896269.4385848,4923392,818.6199951171875
1741896279.9999526,4927488,815.1799926757812
1741896300.9191723,4935680,791.3099975585938
1741896352.0219648,4956160,523.77001953125
1741896392.558814,4972544,461.9599914550781
1741896397.5394077,4974592,482.54998779296875
1741896452.7324917,4997120,674.2000122070312
1741896492.7713776,5013504,777.97998046875
1741896522.499114,5025792,843.739990234375
1741896527.480771,5027840,866.72998046875
1741896537.3509388,5031936,924.52001953125
1741896547.2369957,5036032,951.9500122070312
1741896572.1164837,5046272,1012.5900268554688
1741896666.6584737,5085184,1195.8499755859375
1741896696.4605694,5097472,1177.4599609375
1741896701.3568714,5099520,1177.4599609375
1741896750.5715396,5120000,1181.949951171875
1741896760.3964229,5124096,1188.969970703125
1741896774.9842157,5130240,1207.530029296875
1741896779.7876065,5132288,1207.530029296875
1741896784.6756902,5134336,1207.530029296875
1741896834.166206,5154816,1239.3199462890625
1741896839.1835926,5156864,1237.72998046875
1741896853.8032181,5163008,1250.8699951171875
1741896883.6159663,5175296,1276.9599609375
1741896908.0539756,5185536,1282.6600341796875
1741896917.7715642,5189632,1286.0
1741896927.624492,5193728,1284.75
1741896937.2897503,5197824,1284.75
1741896981.9965155,5216256,1254.3399658203125
1741897001.596599,5224448,1302.510009765625
1741897021.4930744,5232640,1373.4000244140625
1741897031.3390422,5236736,1370.989990234375
1741897046.1437721,5242880,1375.0699462890625
1741897090.9577334,5261312,1362.9200439453125
1741897095.9022892,5263360,1350.6700439453125
1741897115.293745,5271552,1361.3599853515625
1741897145.1376863,5283840,1358.780029296875
1741897155.0943172,5287936,1371.6400146484375
1741897214.2581503,5312512,1531.989990234375
1741897219.0373843,5314560,1531.989990234375
1741897223.8233745,5316608,1531.989990234375
1741897228.906545,5318656,1529.8900146484375
1741897243.6999726,5324800,1541.02001953125
1741897263.1575732,5332992,1516.199951171875
1741897292.4152095,5345280,1541.8399658203125
1741897297.1176045,5347328,1541.8399658203125
1741897311.8115768,5353472,1573.010009765625
1741897351.079882,5369856,1642.3199462890625
1741897375.8639286,5380096,1641.7099609375
1741897390.525165,5386240,1687.030029296875
1741897405.2200382,5392384,1656.449951171875
1741897410.0947323,5394432,1643.43994140625
1741897439.6585448,5406720,1696.510009765625
1741897449.382479,5410816,1724.1800537109375
1741897478.5184505,5423104,1756.1300048828125
1741897493.1763449,5429248,1792.1700439453125
1741897507.7805731,5435392,1801.1600341796875
1741897512.6010005,5437440,1797.9300537109375
1741897531.870171,5445632,1814.8800048828125
1741897624.50517,5484544,1993.1099853515625
1741897643.72289,5492736,1957.56005859375
1741897653.4577768,5496832,1974.8299560546875
1741897677.4739518,5507072,2012.3499755859375
1741897701.7154589,5517312,1956.3800048828125
1741897764.9478247,5543936,1988.77001953125
1741897784.9120736,5552128,1951.8499755859375
1741897799.5132139,5558272,1950.6199951171875
1741897871.745625,5588992,1977.469970703125
1741897925.087235,5611520,1943.010009765625
1741897929.884291,5613568,1952.5
1741897944.4030044,5619712,1937.75
1741897973.9220603,5632000,1936.75
1741898007.5364103,5646336,1957.0400390625
1741898012.3100414,5648384,1952.6700439453125
1741898017.049345,5650432,1952.6700439453125
1741898021.7129977,5652480,1952.6700439453125
1741898026.4899979,5654528,1952.6700439453125
1741898031.406282,5656576,1943.8499755859375
1741898070.3792956,5672960,2000.4300537109375
1741898182.409429,5720064,1967.22998046875
1741898187.2499812,5722112,1967.22998046875
1741898192.1062765,5724160,1967.22998046875
1741898226.1099854,5738496,1922.6700439453125
1741898279.6109881,5761024,1834.0
1741898289.1737108,5765120,1845.1099853515625
1741898347.3248053,5789696,1835.97998046875
1741898352.5250638,5791744,1845.75
1741898366.9641037,5797888,1862.6700439453125
1741898376.488165,5801984,1862.6700439453125
1741898381.2957323,5804032,1862.6700439453125
1741898391.2236104,5808128,1870.469970703125
1741898483.41685,5847040,1886.31005859375
